object_id,flag
2256966.0,HIGH
2638443.0,HIGH
1927757.0,HIGH
8197969.0,HIGH
4785771.0,HIGH
7533341.0,HIGH
5223276.0,HIGH
5082924.0,HIGH
4531472.0,HIGH
7601467.0,HIGH
2645191.0,HIGH
2028275.0,HIGH
6082589.0,HIGH
5219258.0,HIGH
8183097.0,HIGH
3051127.0,MEDIUM
1893301.0,HIGH
4751583.0,HIGH
3080497.0,HIGH
1868011.0,HIGH
7872005.0,HIGH
1604463.0,HIGH
4802153.0,HIGH
3238607.0,HIGH
7349043.0,HIGH
4703787.0,HIGH
7445711.0,HIGH
5127054.0,HIGH
7810017.0,HIGH
6775341.0,HIGH
8611935.0,HIGH
7651723.0,HIGH
2112157.0,HIGH
5145872.0,HIGH
3156371.0,HIGH
7323965.0,HIGH
5576032.0,HIGH
7043309.0,HIGH
3431669.0,HIGH
8197659.0,HIGH
3494235.0,HIGH
1182117.0,MEDIUM
3045459.0,HIGH
3363541.0,HIGH
5923089.0,HIGH
5955431.0,HIGH
1405003.0,HIGH
4798469.0,HIGH
6954289.0,HIGH
1208733.0,HIGH
7810017.0,HIGH
3255187.0,HIGH
1605541.0,HIGH
4710631.0,HIGH
7550593.0,HIGH
1781705.0,HIGH
5915921.0,HIGH
4703787.0,HIGH
5091198.0,HIGH
1150755.0,HIGH
855815.0,HIGH
8159617.0,HIGH
4703137.0,HIGH
8368641.0,HIGH
5506978.0,HIGH
3090085.0,HIGH
3709520.0,HIGH
5452426.0,HIGH
3920416.0,HIGH
6815083.0,HIGH
7481733.0,HIGH
6245813.0,HIGH
7528231.0,HIGH
7986297.0,HIGH
3717814.0,HIGH
1260793.0,HIGH
7145237.0,HIGH
751295.0,HIGH
1718087.0,HIGH
8208627.0,HIGH
1781705.0,HIGH
301642.0,HIGH
1666247.0,HIGH
8076863.0,HIGH
7912811.0,HIGH
5137382.0,HIGH
2008897.0,HIGH
8746953.0,HIGH
7422297.0,HIGH
5064834.0,HIGH
2612592.0,HIGH
5844085.0,HIGH
4784235.0,HIGH
4012196.0,HIGH
7533341.0,HIGH
1980489.0,HIGH
2996597.0,HIGH
2856839.0,HIGH
8090275.0,HIGH
1260599.0,HIGH
4380422.0,HIGH
7636441.0,HIGH
5841419.0,HIGH
7001867.0,HIGH
7754027.0,HIGH
5841419.0,HIGH
8142567.0,HIGH
4201162.0,HIGH
5106572.0,HIGH
2638443.0,HIGH
6954289.0,HIGH
4158696.0,HIGH
3166939.0,HIGH
4318388.0,HIGH
7490751.0,HIGH
6049075.0,HIGH
7912741.0,HIGH
8228565.0,HIGH
6095887.0,HIGH
2745595.0,HIGH
2968469.0,HIGH
8611935.0,HIGH
3169451.0,HIGH
4497118.0,HIGH
4260348.0,HIGH
4547398.0,HIGH
2681789.0,HIGH
3280695.0,HIGH
7087187.0,HIGH
4661045.0,HIGH
7042829.0,HIGH
4596378.0,HIGH
2633909.0,HIGH
3239767.0,HIGH
4165636.0,HIGH
4778271.0,HIGH
8450777.0,HIGH
7181673.0,HIGH
2638389.0,HIGH
1599245.0,HIGH
8234073.0,HIGH
4901061.0,HIGH
5046800.0,HIGH
4648544.0,HIGH
4865427.0,HIGH
4260346.0,HIGH
3090085.0,HIGH
8421975.0,HIGH
6700149.0,HIGH
3352793.0,HIGH
2760931.0,HIGH
4305778.0,HIGH
4212088.0,HIGH
2101209.0,HIGH
7087153.0,HIGH
7132695.0,HIGH
8131473.0,HIGH
7656639.0,HIGH
7429051.0,HIGH
8317051.0,HIGH
2997807.0,HIGH
4852689.0,HIGH
3830002.0,HIGH
7478161.0,HIGH
3387377.0,HIGH
7114257.0,HIGH
7912523.0,HIGH
1265511.0,HIGH
4200960.0,HIGH
5446718.0,HIGH
8090369.0,HIGH
3161541.0,HIGH
7717359.0,HIGH
4702347.0,HIGH
2087871.0,HIGH
5301408.0,HIGH
3104463.0,HIGH
2968469.0,HIGH
3251405.0,HIGH
3221711.0,HIGH
8056587.0,HIGH
8540715.0,HIGH
3121419.0,HIGH
5037460.0,HIGH
5593346.0,HIGH
858903.0,HIGH
4806879.0,HIGH
3251405.0,HIGH
4798363.0,HIGH
8131219.0,HIGH
7348349.0,HIGH
2561360.0,HIGH
4076134.0,HIGH
4890611.0,HIGH
1592145.0,HIGH
2720735.0,HIGH
1675347.0,HIGH
7753435.0,HIGH
3090377.0,HIGH
4785771.0,HIGH
3627552.0,HIGH
7998525.0,HIGH
8540715.0,HIGH
3791394.0,HIGH
7043309.0,HIGH
2970181.0,HIGH
2556944.0,HIGH
3494235.0,HIGH
6720763.0,HIGH
