,cost,quantity,num_sold,percent_sold
0,208.33333333333334,920.0,0.0,0.0
1,35.0,100.0,25.0,0.25
2,93.51,48.0,48.0,1.0
3,13.666666666666666,30000.0,58.0,0.0019333333333333333
4,101.75,264.0,39.0,0.14772727272727273
5,11.75,1405.0,37.0,0.026334519572953737
6,157.114,1245.0,36.0,0.02891566265060241
7,14.0,64.0,57.0,0.890625
8,250.0,75.0,14.0,0.18666666666666668
9,14.0,64.0,64.0,1.0
10,36.980000000000004,45.0,33.0,0.7333333333333333
11,30.0,30.0,21.0,0.7
12,121.39,80.0,7.0,0.0875
13,35.0,70.0,21.0,0.3
14,112.5,2000.0,58.0,0.029
15,10.0,600.0,237.0,0.395
16,10.0,250.0,186.0,0.744
17,10.0,100.0,3.0,0.03
18,474.08,50.0,8.0,0.16
19,195.0,994.0,281.0,0.28269617706237427
20,14.628571428571428,7389.0,1551.0,0.20990661794559481
21,100.0,1.0,1.0,1.0
22,50.0,40.0,5.0,0.125
23,9.4,40.0,23.0,0.575
24,17.5,125.0,97.0,0.776
25,50.0,15.0,2.0,0.13333333333333333
26,250.0,35.0,2.0,0.05714285714285714
27,8.46,600.0,599.0,0.9983333333333333
28,1973.08,4090.0,4.0,0.0009779951100244498
29,25.0,600.0,67.0,0.11166666666666666
30,30.506666666666664,1400.0,484.0,0.3457142857142857
31,12.5,260.0,69.0,0.2653846153846154
32,22.76,50.0,29.0,0.58
33,49.802499999999995,450.0,8.0,0.017777777777777778
34,18.75,130.0,36.0,0.27692307692307694
35,64.81,200.0,125.0,0.625
36,29.142000000000003,336.0,12.0,0.03571428571428571
37,250.292,1100.0,266.0,0.24181818181818182
38,15.0,110.0,109.0,0.990909090909091
39,275.6425,11200.0,65.0,0.005803571428571429
40,0.0,210.0,54.0,0.2571428571428571
41,28.0,600.0,14.0,0.023333333333333334
42,0.0,200.0,20.0,0.1
43,52.5,301.0,1.0,0.0033222591362126247
44,11.25,120.0,2.0,0.016666666666666666
45,5.97,10100.0,55.0,0.005445544554455445
46,5.0,20.0,1.0,0.05
47,53.75,1100.0,26.0,0.023636363636363636
48,41.54,1000.0,26.0,0.026
49,10.0,500.0,9.0,0.018
50,46.26,130.0,30.0,0.23076923076923078
51,33.30769230769231,480.0,9.0,0.01875
52,77.5,325.0,92.0,0.28307692307692306
53,5.93,100.0,33.0,0.33
54,500.0,100.0,0.0,0.0
55,112.5,75.0,8.0,0.10666666666666667
56,10.0,300.0,84.0,0.28
57,0.0,800.0,84.0,0.105
58,10.0,1400.0,8.0,0.005714285714285714
59,10.0,200.0,28.0,0.14
60,0.0,400.0,38.0,0.095
61,55.0,497.0,491.0,0.9879275653923542
62,53.766875,833.0,803.0,0.963985594237695
63,12.85,100.0,2.0,0.02
64,35.0,34.0,34.0,1.0
65,17.91,400.0,27.0,0.0675
66,30.0,300.0,2.0,0.006666666666666667
67,15.0,300.0,4.0,0.013333333333333334
68,5.0,50.0,1.0,0.02
69,10.0,100.0,39.0,0.39
70,30.0,50.0,0.0,0.0
71,8.46,40.0,9.0,0.225
72,8.46,33.0,7.0,0.21212121212121213
73,15.545,250.0,4.0,0.016
74,10.0,200.0,6.0,0.03
75,10.0,200.0,5.0,0.025
76,22.63,52.0,38.0,0.7307692307692307
77,6.95,300.0,2.0,0.006666666666666667
78,8.758333333333333,110.0,68.0,0.6181818181818182
79,8.75,12.0,2.0,0.16666666666666666
80,250.0,40.0,30.0,0.75
81,35.0,1000.0,2.0,0.002
82,10.0,250.0,43.0,0.172
83,102.5,1595.0,243.0,0.1523510971786834
