prob_not,prob_fraud,predict,flag
1.0,0.0,False,Not Fraud
1.0,0.0,False,Not Fraud
0.98,0.02,False,Not Fraud
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.9,0.1,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.02,0.98,True,MEDIUM
0.98,0.02,False,Not Fraud
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.98,0.02,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
0.98,0.02,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.98,0.02,False,Not Fraud
1.0,0.0,False,Not Fraud
1.0,0.0,False,Not Fraud
0.96,0.04,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.02,0.98,True,MEDIUM
0.98,0.02,False,Not Fraud
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.98,0.02,False,Not Fraud
0.98,0.02,False,Not Fraud
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
0.0,1.0,True,HIGH
1.0,0.0,False,Not Fraud
0.0,1.0,True,HIGH
